问题ID,问题类型,问题子类型,参与者,运行,摄像机ID,sample_name,action_annotation序号,动作,对象,差异字段,动作标注_start_idx,动作标注_end_idx,动作标注_start,动作标注_end,segmentation_start_idx,segmentation_end_idx,segmentation_start,segmentation_end,segmentation_start减动作标注_帧,segmentation_end减动作标注_帧,segmentation_start减动作标注_毫秒,segmentation_end减动作标注_毫秒,动作标注时长_帧,segmentation时长_帧,manifest缓存帧数,manifest匹配动作标注时长,manifest匹配segmentation时长,动作标注start匹配相机时间戳,动作标注end匹配相机时间戳,segmentation_start匹配相机时间戳,segmentation_end匹配相机时间戳,动作标注start时间实际匹配帧索引,动作标注start索引偏移_帧,动作标注end时间实际匹配帧索引,动作标注end索引偏移_帧,segmentation_start时间实际匹配帧索引,segmentation_start索引偏移_帧,segmentation_end时间实际匹配帧索引,segmentation_end索引偏移_帧,相机时间戳_动作标注start_idx,相机时间戳_动作标注end_idx,相机时间戳_segmentation_start_idx,相机时间戳_segmentation_end_idx,无效时间戳帧索引,无效时间戳文件行号,无效时间戳原值,前一个有效时间戳帧索引,前一个有效时间戳,后一个有效时间戳帧索引,后一个有效时间戳,是否连续尾部无效值,该帧是否晚于最后动作end_idx,该帧是否位于任一动作区间,最后动作end_idx,距最后动作帧数,审计判断,标签生成建议,人工复核状态,动作标注来源文件,动作标注来源行号,segmentation来源文件,segmentation来源行号,相机时间戳来源文件,动作标注start对应时间戳行,动作标注end对应时间戳行,segmentation_start对应时间戳行,segmentation_end对应时间戳行,manifest来源文件,manifest来源行号,审计日期,备注
BD-030,边界差异,start_idx|start,J,run_19,001484412812,sample_001069,8,put,sample,start_idx|start,1280,1315,20260316_130114_427049,20260316_130115_532999,1276,1315,20260316_130114_289148,20260316_130115_532999,-4,0,-137.901,0,36,40,36,是,否,是,是,是,是,1280,0,1315,0,1276,0,1315,0,20260316_130114_427049,20260316_130115_532999,20260316_130114_289148,20260316_130115_532999,,,,,,,,,,,,,两套边界都准确对应有效相机时间戳；现有clip缓存匹配动作标注边界，因此不是时间戳损坏，而是两份标注选择了不同边界,第一版以动作标注边界生成action/background标签；保留本行差异，人工确认后再决定是否改用segmentation边界,待用户确认,D:\Junxi_data\stage_2_data_for_annotation\Dataset_thermal_crimper_stage_2_raw\kinect\J\run_19\run_19_annotations.csv,9,D:\Junxi_data\stage_2_data_for_annotation\Dataset_thermal_crimper_stage_2_raw\kinect\J\run_19\run_19_segmentation_annotation.csv,15,D:\Junxi_data\stage_2_data_for_annotation\Dataset_thermal_crimper_stage_2_raw\kinect\J\run_19\001484412812\20260316_130026_timestamp.csv,1281,1316,1277,1316,D:\Junxi_data\Objective3_thermal_crimp\codex_and_files\manifest_graph_enrichment_2026-07-15\3_camera_mindrove_manifest_with_graph_nodes.jsonl,1069,2026-08-07,边界帧索引按1开始计数；时间戳CSV第1行为表头，因此时间戳文件行号=帧索引+1
BD-031,边界差异,end_idx|end,J,run_23,001484412812,sample_001144,6,grip,sample,end_idx|end,1150,1184,20260318_144333_474792,20260318_144334_617210,1150,1183,20260318_144333_474792,20260318_144334_547800,0,-1,0,-69.41,35,34,35,是,否,否,否,否,是,1151,1,1185,1,1151,1,1183,0,20260318_144333_441879,20260318_144334_578318,20260318_144333_441879,20260318_144334_547800,,,,,,,,,,,,,四个标注时间字符串都存在于相机时间戳序列，但至少一个idx与实际时间戳位置有偏移；属于帧索引/时间戳映射问题（可能含0/1基混用），不是1970占位时间戳,第一版以动作标注边界生成action/background标签；保留本行差异，人工确认后再决定是否改用segmentation边界,待用户确认,D:\Junxi_data\stage_2_data_for_annotation\Dataset_thermal_crimper_stage_2_raw\kinect\J\run_23\run_23_annotations.csv,7,D:\Junxi_data\stage_2_data_for_annotation\Dataset_thermal_crimper_stage_2_raw\kinect\J\run_23\run_23_segmentation_annotation.csv,13,D:\Junxi_data\stage_2_data_for_annotation\Dataset_thermal_crimper_stage_2_raw\kinect\J\run_23\001484412812\20260318_144250_timestamp.csv,1151,1185,1151,1184,D:\Junxi_data\Objective3_thermal_crimp\codex_and_files\manifest_graph_enrichment_2026-07-15\3_camera_mindrove_manifest_with_graph_nodes.jsonl,1144,2026-08-07,边界帧索引按1开始计数；时间戳CSV第1行为表头，因此时间戳文件行号=帧索引+1
BD-032,边界差异,end_idx|end,J,run_25,001484412812,sample_001172,6,grip,sample,end_idx|end,1078,1114,20260318_144706_139079,20260318_144707_332858,1078,1118,20260318_144706_139079,20260318_144707_437098,0,4,0,104.24,37,41,37,是,否,否,否,否,是,1079,1,1115,1,1079,1,1118,0,20260318_144706_111143,20260318_144707_301940,20260318_144706_111143,20260318_144707_437098,,,,,,,,,,,,,四个标注时间字符串都存在于相机时间戳序列，但至少一个idx与实际时间戳位置有偏移；属于帧索引/时间戳映射问题（可能含0/1基混用），不是1970占位时间戳,第一版以动作标注边界生成action/background标签；保留本行差异，人工确认后再决定是否改用segmentation边界,待用户确认,D:\Junxi_data\stage_2_data_for_annotation\Dataset_thermal_crimper_stage_2_raw\kinect\J\run_25\run_25_annotations.csv,7,D:\Junxi_data\stage_2_data_for_annotation\Dataset_thermal_crimper_stage_2_raw\kinect\J\run_25\run_25_segmentation_annotation.csv,13,D:\Junxi_data\stage_2_data_for_annotation\Dataset_thermal_crimper_stage_2_raw\kinect\J\run_25\001484412812\20260318_144625_timestamp.csv,1079,1115,1079,1119,D:\Junxi_data\Objective3_thermal_crimp\codex_and_files\manifest_graph_enrichment_2026-07-15\3_camera_mindrove_manifest_with_graph_nodes.jsonl,1172,2026-08-07,边界帧索引按1开始计数；时间戳CSV第1行为表头，因此时间戳文件行号=帧索引+1
BD-033,边界差异,end_idx|end,J,run_26,001484412812,sample_001214,24,grip,sample,end_idx|end,4544,4583,20260318_145306_717087,20260318_145308_031760,4544,4582,20260318_145306_717087,20260318_145307_949946,0,-1,0,-81.814,40,39,40,是,否,否,否,否,是,4545,1,4584,1,4545,1,4582,0,20260318_145306_681751,20260318_145307_978388,20260318_145306_681751,20260318_145307_949946,,,,,,,,,,,,,四个标注时间字符串都存在于相机时间戳序列，但至少一个idx与实际时间戳位置有偏移；属于帧索引/时间戳映射问题（可能含0/1基混用），不是1970占位时间戳,第一版以动作标注边界生成action/background标签；保留本行差异，人工确认后再决定是否改用segmentation边界,待用户确认,D:\Junxi_data\stage_2_data_for_annotation\Dataset_thermal_crimper_stage_2_raw\kinect\J\run_26\run_26_annotations.csv,25,D:\Junxi_data\stage_2_data_for_annotation\Dataset_thermal_crimper_stage_2_raw\kinect\J\run_26\run_26_segmentation_annotation.csv,48,D:\Junxi_data\stage_2_data_for_annotation\Dataset_thermal_crimper_stage_2_raw\kinect\J\run_26\001484412812\20260318_145030_timestamp.csv,4545,4584,4545,4583,D:\Junxi_data\Objective3_thermal_crimp\codex_and_files\manifest_graph_enrichment_2026-07-15\3_camera_mindrove_manifest_with_graph_nodes.jsonl,1214,2026-08-07,边界帧索引按1开始计数；时间戳CSV第1行为表头，因此时间戳文件行号=帧索引+1
BD-034,边界差异,start_idx|start,J,run_26,001484412812,sample_001218,28,place,sample,start_idx|start,4730,4762,20260318_145312_926477,20260318_145313_980824,4727,4762,20260318_145312_782071,20260318_145313_980824,-3,0,-144.406,0,33,36,33,是,否,否,否,是,否,4731,1,4763,1,4727,0,4763,1,20260318_145312_896554,20260318_145313_950377,20260318_145312_782071,20260318_145313_950377,,,,,,,,,,,,,四个标注时间字符串都存在于相机时间戳序列，但至少一个idx与实际时间戳位置有偏移；属于帧索引/时间戳映射问题（可能含0/1基混用），不是1970占位时间戳,第一版以动作标注边界生成action/background标签；保留本行差异，人工确认后再决定是否改用segmentation边界,待用户确认,D:\Junxi_data\stage_2_data_for_annotation\Dataset_thermal_crimper_stage_2_raw\kinect\J\run_26\run_26_annotations.csv,29,D:\Junxi_data\stage_2_data_for_annotation\Dataset_thermal_crimper_stage_2_raw\kinect\J\run_26\run_26_segmentation_annotation.csv,54,D:\Junxi_data\stage_2_data_for_annotation\Dataset_thermal_crimper_stage_2_raw\kinect\J\run_26\001484412812\20260318_145030_timestamp.csv,4731,4763,4728,4763,D:\Junxi_data\Objective3_thermal_crimp\codex_and_files\manifest_graph_enrichment_2026-07-15\3_camera_mindrove_manifest_with_graph_nodes.jsonl,1218,2026-08-07,边界帧索引按1开始计数；时间戳CSV第1行为表头，因此时间戳文件行号=帧索引+1
BD-035,边界差异,end_idx|end,J,run_28,001484412812,sample_001249,6,grip,sample,end_idx|end,1151,1185,20260318_145725_817086,20260318_145726_952182,1151,1189,20260318_145725_817086,20260318_145727_077713,0,4,0,125.531,35,39,35,是,否,是,是,是,是,1151,0,1185,0,1151,0,1189,0,20260318_145725_817086,20260318_145726_952182,20260318_145725_817086,20260318_145727_077713,,,,,,,,,,,,,两套边界都准确对应有效相机时间戳；现有clip缓存匹配动作标注边界，因此不是时间戳损坏，而是两份标注选择了不同边界,第一版以动作标注边界生成action/background标签；保留本行差异，人工确认后再决定是否改用segmentation边界,待用户确认,D:\Junxi_data\stage_2_data_for_annotation\Dataset_thermal_crimper_stage_2_raw\kinect\J\run_28\run_28_annotations.csv,7,D:\Junxi_data\stage_2_data_for_annotation\Dataset_thermal_crimper_stage_2_raw\kinect\J\run_28\run_28_segmentation_annotation.csv,13,D:\Junxi_data\stage_2_data_for_annotation\Dataset_thermal_crimper_stage_2_raw\kinect\J\run_28\001484412812\20260318_145642_timestamp.csv,1152,1186,1152,1190,D:\Junxi_data\Objective3_thermal_crimp\codex_and_files\manifest_graph_enrichment_2026-07-15\3_camera_mindrove_manifest_with_graph_nodes.jsonl,1249,2026-08-07,边界帧索引按1开始计数；时间戳CSV第1行为表头，因此时间戳文件行号=帧索引+1
BD-036,边界差异,end_idx|end,J,run_31,001484412812,sample_001301,17,grip,sample,end_idx|end,4188,4221,20260323_101821_464099,20260323_101822_569233,4188,4223,20260323_101821_464099,20260323_101822_596241,0,2,0,27.008,34,36,34,是,否,否,否,否,是,4189,1,4222,1,4189,1,4223,0,20260323_101821_439168,20260323_101822_542302,20260323_101821_439168,20260323_101822_596241,,,,,,,,,,,,,四个标注时间字符串都存在于相机时间戳序列，但至少一个idx与实际时间戳位置有偏移；属于帧索引/时间戳映射问题（可能含0/1基混用），不是1970占位时间戳,第一版以动作标注边界生成action/background标签；保留本行差异，人工确认后再决定是否改用segmentation边界,待用户确认,D:\Junxi_data\stage_2_data_for_annotation\Dataset_thermal_crimper_stage_2_raw\kinect\J\run_31\run_31_annotations.csv,18,D:\Junxi_data\stage_2_data_for_annotation\Dataset_thermal_crimper_stage_2_raw\kinect\J\run_31\run_31_segmentation_annotation.csv,35,D:\Junxi_data\stage_2_data_for_annotation\Dataset_thermal_crimper_stage_2_raw\kinect\J\run_31\001484412812\20260323_101556_timestamp.csv,4189,4222,4189,4224,D:\Junxi_data\Objective3_thermal_crimp\codex_and_files\manifest_graph_enrichment_2026-07-15\3_camera_mindrove_manifest_with_graph_nodes.jsonl,1301,2026-08-07,边界帧索引按1开始计数；时间戳CSV第1行为表头，因此时间戳文件行号=帧索引+1
BD-037,边界差异,end_idx|end,J,run_33,001484412812,sample_001336,13,grip,sample,end_idx|end,1422,1454,20260323_102242_202389,20260323_102243_275704,1422,1458,20260323_102242_202389,20260323_102243_398926,0,4,0,123.222,33,37,33,是,否,是,是,是,是,1422,0,1454,0,1422,0,1458,0,20260323_102242_202389,20260323_102243_275704,20260323_102242_202389,20260323_102243_398926,,,,,,,,,,,,,两套边界都准确对应有效相机时间戳；现有clip缓存匹配动作标注边界，因此不是时间戳损坏，而是两份标注选择了不同边界,第一版以动作标注边界生成action/background标签；保留本行差异，人工确认后再决定是否改用segmentation边界,待用户确认,D:\Junxi_data\stage_2_data_for_annotation\Dataset_thermal_crimper_stage_2_raw\kinect\J\run_33\run_33_annotations.csv,14,D:\Junxi_data\stage_2_data_for_annotation\Dataset_thermal_crimper_stage_2_raw\kinect\J\run_33\run_33_segmentation_annotation.csv,26,D:\Junxi_data\stage_2_data_for_annotation\Dataset_thermal_crimper_stage_2_raw\kinect\J\run_33\001484412812\20260323_102149_timestamp.csv,1423,1455,1423,1459,D:\Junxi_data\Objective3_thermal_crimp\codex_and_files\manifest_graph_enrichment_2026-07-15\3_camera_mindrove_manifest_with_graph_nodes.jsonl,1336,2026-08-07,边界帧索引按1开始计数；时间戳CSV第1行为表头，因此时间戳文件行号=帧索引+1
BD-038,边界差异,end_idx,M,run_2,001484412812,sample_001634,7,reverse,sample,end_idx,1220,1249,20260318_123948_630797,20260318_123949_607345,1220,1250,20260318_123948_630797,20260318_123949_607345,0,1,0,0,30,31,30,是,否,否,否,否,是,1221,1,1250,1,1221,1,1250,0,20260318_123948_602958,20260318_123949_571930,20260318_123948_602958,20260318_123949_607345,,,,,,,,,,,,,四个标注时间字符串都存在于相机时间戳序列，但至少一个idx与实际时间戳位置有偏移；属于帧索引/时间戳映射问题（可能含0/1基混用），不是1970占位时间戳,第一版以动作标注边界生成action/background标签；保留本行差异，人工确认后再决定是否改用segmentation边界,待用户确认,D:\Junxi_data\stage_2_data_for_annotation\Dataset_thermal_crimper_stage_2_raw\kinect\M\run_2\run_2_annotations.csv,8,D:\Junxi_data\stage_2_data_for_annotation\Dataset_thermal_crimper_stage_2_raw\kinect\M\run_2\run_2_segmentation_annotation.csv,14,D:\Junxi_data\stage_2_data_for_annotation\Dataset_thermal_crimper_stage_2_raw\kinect\M\run_2\001484412812\20260318_123903_timestamp.csv,1221,1250,1221,1251,D:\Junxi_data\Objective3_thermal_crimp\codex_and_files\manifest_graph_enrichment_2026-07-15\3_camera_mindrove_manifest_with_graph_nodes.jsonl,1634,2026-08-07,边界帧索引按1开始计数；时间戳CSV第1行为表头，因此时间戳文件行号=帧索引+1
BD-039,边界差异,end_idx|end,M,run_2,001484412812,sample_001640,13,put,sample,end_idx|end,1830,1885,20260318_124008_963643,20260318_124010_806812,1830,1887,20260318_124008_963643,20260318_124010_838977,0,2,0,32.165,56,58,56,是,否,否,否,否,是,1831,1,1886,1,1831,1,1887,0,20260318_124008_935718,20260318_124010_774897,20260318_124008_935718,20260318_124010_838977,,,,,,,,,,,,,四个标注时间字符串都存在于相机时间戳序列，但至少一个idx与实际时间戳位置有偏移；属于帧索引/时间戳映射问题（可能含0/1基混用），不是1970占位时间戳,第一版以动作标注边界生成action/background标签；保留本行差异，人工确认后再决定是否改用segmentation边界,待用户确认,D:\Junxi_data\stage_2_data_for_annotation\Dataset_thermal_crimper_stage_2_raw\kinect\M\run_2\run_2_annotations.csv,14,D:\Junxi_data\stage_2_data_for_annotation\Dataset_thermal_crimper_stage_2_raw\kinect\M\run_2\run_2_segmentation_annotation.csv,25,D:\Junxi_data\stage_2_data_for_annotation\Dataset_thermal_crimper_stage_2_raw\kinect\M\run_2\001484412812\20260318_123903_timestamp.csv,1831,1886,1831,1888,D:\Junxi_data\Objective3_thermal_crimp\codex_and_files\manifest_graph_enrichment_2026-07-15\3_camera_mindrove_manifest_with_graph_nodes.jsonl,1640,2026-08-07,边界帧索引按1开始计数；时间戳CSV第1行为表头，因此时间戳文件行号=帧索引+1
BD-040,边界差异,end_idx|end,M,run_3,001484412812,sample_001786,6,grip,sample,end_idx|end,1214,1259,20260318_124143_253576,20260318_124144_757179,1214,1263,20260318_124143_253576,20260318_124144_887815,0,4,0,130.636,46,50,46,是,否,是,是,是,是,1214,0,1259,0,1214,0,1263,0,20260318_124143_253576,20260318_124144_757179,20260318_124143_253576,20260318_124144_887815,,,,,,,,,,,,,两套边界都准确对应有效相机时间戳；现有clip缓存匹配动作标注边界，因此不是时间戳损坏，而是两份标注选择了不同边界,第一版以动作标注边界生成action/background标签；保留本行差异，人工确认后再决定是否改用segmentation边界,待用户确认,D:\Junxi_data\stage_2_data_for_annotation\Dataset_thermal_crimper_stage_2_raw\kinect\M\run_3\run_3_annotations.csv,7,D:\Junxi_data\stage_2_data_for_annotation\Dataset_thermal_crimper_stage_2_raw\kinect\M\run_3\run_3_segmentation_annotation.csv,13,D:\Junxi_data\stage_2_data_for_annotation\Dataset_thermal_crimper_stage_2_raw\kinect\M\run_3\001484412812\20260318_124057_timestamp.csv,1215,1260,1215,1264,D:\Junxi_data\Objective3_thermal_crimp\codex_and_files\manifest_graph_enrichment_2026-07-15\3_camera_mindrove_manifest_with_graph_nodes.jsonl,1786,2026-08-07,边界帧索引按1开始计数；时间戳CSV第1行为表头，因此时间戳文件行号=帧索引+1
BD-041,边界差异,end_idx|end,M,run_3,001484412812,sample_001787,7,reverse,sample,end_idx|end,1264,1287,20260318_124144_917742,20260318_124145_683117,1264,1289,20260318_124144_917742,20260318_124145_747504,0,2,0,64.387,24,26,24,是,否,是,是,是,是,1264,0,1287,0,1264,0,1289,0,20260318_124144_917742,20260318_124145_683117,20260318_124144_917742,20260318_124145_747504,,,,,,,,,,,,,两套边界都准确对应有效相机时间戳；现有clip缓存匹配动作标注边界，因此不是时间戳损坏，而是两份标注选择了不同边界,第一版以动作标注边界生成action/background标签；保留本行差异，人工确认后再决定是否改用segmentation边界,待用户确认,D:\Junxi_data\stage_2_data_for_annotation\Dataset_thermal_crimper_stage_2_raw\kinect\M\run_3\run_3_annotations.csv,8,D:\Junxi_data\stage_2_data_for_annotation\Dataset_thermal_crimper_stage_2_raw\kinect\M\run_3\run_3_segmentation_annotation.csv,14,D:\Junxi_data\stage_2_data_for_annotation\Dataset_thermal_crimper_stage_2_raw\kinect\M\run_3\001484412812\20260318_124057_timestamp.csv,1265,1288,1265,1290,D:\Junxi_data\Objective3_thermal_crimp\codex_and_files\manifest_graph_enrichment_2026-07-15\3_camera_mindrove_manifest_with_graph_nodes.jsonl,1787,2026-08-07,边界帧索引按1开始计数；时间戳CSV第1行为表头，因此时间戳文件行号=帧索引+1
BD-042,边界差异,end_idx|end,M,run_4,001484412812,sample_001800,6,grip,sample,end_idx|end,1288,1332,20260318_124413_406399,20260318_124414_865905,1288,1330,20260318_124413_406399,20260318_124414_774231,0,-2,0,-91.674,45,43,45,是,否,否,否,否,是,1289,1,1333,1,1289,1,1330,0,20260318_124413_362792,20260318_124414_831006,20260318_124413_362792,20260318_124414_774231,,,,,,,,,,,,,四个标注时间字符串都存在于相机时间戳序列，但至少一个idx与实际时间戳位置有偏移；属于帧索引/时间戳映射问题（可能含0/1基混用），不是1970占位时间戳,第一版以动作标注边界生成action/background标签；保留本行差异，人工确认后再决定是否改用segmentation边界,待用户确认,D:\Junxi_data\stage_2_data_for_annotation\Dataset_thermal_crimper_stage_2_raw\kinect\M\run_4\run_4_annotations.csv,7,D:\Junxi_data\stage_2_data_for_annotation\Dataset_thermal_crimper_stage_2_raw\kinect\M\run_4\run_4_segmentation_annotation.csv,13,D:\Junxi_data\stage_2_data_for_annotation\Dataset_thermal_crimper_stage_2_raw\kinect\M\run_4\001484412812\20260318_124325_timestamp.csv,1289,1333,1289,1331,D:\Junxi_data\Objective3_thermal_crimp\codex_and_files\manifest_graph_enrichment_2026-07-15\3_camera_mindrove_manifest_with_graph_nodes.jsonl,1800,2026-08-07,边界帧索引按1开始计数；时间戳CSV第1行为表头，因此时间戳文件行号=帧索引+1
BD-043,边界差异,end_idx|end,M,run_4,001484412812,sample_001801,7,reverse,sample,end_idx|end,1331,1402,20260318_124414_831006,20260318_124417_221627,1331,1399,20260318_124414_831006,20260318_124417_078629,0,-3,0,-142.998,72,69,72,是,否,否,否,否,是,1332,1,1403,1,1332,1,1399,0,20260318_124414_799483,20260318_124417_175715,20260318_124414_799483,20260318_124417_078629,,,,,,,,,,,,,四个标注时间字符串都存在于相机时间戳序列，但至少一个idx与实际时间戳位置有偏移；属于帧索引/时间戳映射问题（可能含0/1基混用），不是1970占位时间戳,第一版以动作标注边界生成action/background标签；保留本行差异，人工确认后再决定是否改用segmentation边界,待用户确认,D:\Junxi_data\stage_2_data_for_annotation\Dataset_thermal_crimper_stage_2_raw\kinect\M\run_4\run_4_annotations.csv,8,D:\Junxi_data\stage_2_data_for_annotation\Dataset_thermal_crimper_stage_2_raw\kinect\M\run_4\run_4_segmentation_annotation.csv,14,D:\Junxi_data\stage_2_data_for_annotation\Dataset_thermal_crimper_stage_2_raw\kinect\M\run_4\001484412812\20260318_124325_timestamp.csv,1332,1403,1332,1400,D:\Junxi_data\Objective3_thermal_crimp\codex_and_files\manifest_graph_enrichment_2026-07-15\3_camera_mindrove_manifest_with_graph_nodes.jsonl,1801,2026-08-07,边界帧索引按1开始计数；时间戳CSV第1行为表头，因此时间戳文件行号=帧索引+1
BD-044,边界差异,end_idx|end,M,run_4,001484412812,sample_001803,9,grip,sample,end_idx|end,1481,1522,20260318_124419_870024,20260318_124421_202141,1481,1524,20260318_124419_870024,20260318_124421_240044,0,2,0,37.903,42,44,42,是,否,否,否,否,是,1482,1,1523,1,1482,1,1524,0,20260318_124419_830945,20260318_124421_165978,20260318_124419_830945,20260318_124421_240044,,,,,,,,,,,,,四个标注时间字符串都存在于相机时间戳序列，但至少一个idx与实际时间戳位置有偏移；属于帧索引/时间戳映射问题（可能含0/1基混用），不是1970占位时间戳,第一版以动作标注边界生成action/background标签；保留本行差异，人工确认后再决定是否改用segmentation边界,待用户确认,D:\Junxi_data\stage_2_data_for_annotation\Dataset_thermal_crimper_stage_2_raw\kinect\M\run_4\run_4_annotations.csv,10,D:\Junxi_data\stage_2_data_for_annotation\Dataset_thermal_crimper_stage_2_raw\kinect\M\run_4\run_4_segmentation_annotation.csv,17,D:\Junxi_data\stage_2_data_for_annotation\Dataset_thermal_crimper_stage_2_raw\kinect\M\run_4\001484412812\20260318_124325_timestamp.csv,1482,1523,1482,1525,D:\Junxi_data\Objective3_thermal_crimp\codex_and_files\manifest_graph_enrichment_2026-07-15\3_camera_mindrove_manifest_with_graph_nodes.jsonl,1803,2026-08-07,边界帧索引按1开始计数；时间戳CSV第1行为表头，因此时间戳文件行号=帧索引+1
BD-045,边界差异,end_idx|end,M,run_5,001484412812,sample_001835,17,grip,sample,end_idx|end,4711,4740,20260318_125139_751094,20260318_125140_708806,4711,4742,20260318_125139_751094,20260318_125140_774153,0,2,0,65.347,30,32,30,是,否,是,是,是,是,4711,0,4740,0,4711,0,4742,0,20260318_125139_751094,20260318_125140_708806,20260318_125139_751094,20260318_125140_774153,,,,,,,,,,,,,两套边界都准确对应有效相机时间戳；现有clip缓存匹配动作标注边界，因此不是时间戳损坏，而是两份标注选择了不同边界,第一版以动作标注边界生成action/background标签；保留本行差异，人工确认后再决定是否改用segmentation边界,待用户确认,D:\Junxi_data\stage_2_data_for_annotation\Dataset_thermal_crimper_stage_2_raw\kinect\M\run_5\run_5_annotations.csv,18,D:\Junxi_data\stage_2_data_for_annotation\Dataset_thermal_crimper_stage_2_raw\kinect\M\run_5\run_5_segmentation_annotation.csv,35,D:\Junxi_data\stage_2_data_for_annotation\Dataset_thermal_crimper_stage_2_raw\kinect\M\run_5\001484412812\20260318_124857_timestamp.csv,4712,4741,4712,4743,D:\Junxi_data\Objective3_thermal_crimp\codex_and_files\manifest_graph_enrichment_2026-07-15\3_camera_mindrove_manifest_with_graph_nodes.jsonl,1835,2026-08-07,边界帧索引按1开始计数；时间戳CSV第1行为表头，因此时间戳文件行号=帧索引+1
BD-046,边界差异,end_idx|end,M,run_6,001484412812,sample_001850,7,reverse,sample,end_idx|end,1225,1247,20260318_125331_838512,20260318_125332_556878,1225,1248,20260318_125331_838512,20260318_125332_590646,0,1,0,33.768,23,24,23,是,否,是,是,是,是,1225,0,1247,0,1225,0,1248,0,20260318_125331_838512,20260318_125332_556878,20260318_125331_838512,20260318_125332_590646,,,,,,,,,,,,,两套边界都准确对应有效相机时间戳；现有clip缓存匹配动作标注边界，因此不是时间戳损坏，而是两份标注选择了不同边界,第一版以动作标注边界生成action/background标签；保留本行差异，人工确认后再决定是否改用segmentation边界,待用户确认,D:\Junxi_data\stage_2_data_for_annotation\Dataset_thermal_crimper_stage_2_raw\kinect\M\run_6\run_6_annotations.csv,8,D:\Junxi_data\stage_2_data_for_annotation\Dataset_thermal_crimper_stage_2_raw\kinect\M\run_6\run_6_segmentation_annotation.csv,14,D:\Junxi_data\stage_2_data_for_annotation\Dataset_thermal_crimper_stage_2_raw\kinect\M\run_6\001484412812\20260318_125246_timestamp.csv,1226,1248,1226,1249,D:\Junxi_data\Objective3_thermal_crimp\codex_and_files\manifest_graph_enrichment_2026-07-15\3_camera_mindrove_manifest_with_graph_nodes.jsonl,1850,2026-08-07,边界帧索引按1开始计数；时间戳CSV第1行为表头，因此时间戳文件行号=帧索引+1
BD-047,边界差异,start_idx|start,M,run_6,001484412812,sample_001857,14,put,plier,start_idx|start,1841,1877,20260318_125352_382629,20260318_125353_583304,1837,1877,20260318_125352_238879,20260318_125353_583304,-4,0,-143.75,0,37,41,37,是,否,是,是,是,是,1841,0,1877,0,1837,0,1877,0,20260318_125352_382629,20260318_125353_583304,20260318_125352_238879,20260318_125353_583304,,,,,,,,,,,,,两套边界都准确对应有效相机时间戳；现有clip缓存匹配动作标注边界，因此不是时间戳损坏，而是两份标注选择了不同边界,第一版以动作标注边界生成action/background标签；保留本行差异，人工确认后再决定是否改用segmentation边界,待用户确认,D:\Junxi_data\stage_2_data_for_annotation\Dataset_thermal_crimper_stage_2_raw\kinect\M\run_6\run_6_annotations.csv,15,D:\Junxi_data\stage_2_data_for_annotation\Dataset_thermal_crimper_stage_2_raw\kinect\M\run_6\run_6_segmentation_annotation.csv,26,D:\Junxi_data\stage_2_data_for_annotation\Dataset_thermal_crimper_stage_2_raw\kinect\M\run_6\001484412812\20260318_125246_timestamp.csv,1842,1878,1838,1878,D:\Junxi_data\Objective3_thermal_crimp\codex_and_files\manifest_graph_enrichment_2026-07-15\3_camera_mindrove_manifest_with_graph_nodes.jsonl,1857,2026-08-07,边界帧索引按1开始计数；时间戳CSV第1行为表头，因此时间戳文件行号=帧索引+1
BD-048,边界差异,end_idx|end,M,run_7,001484412812,sample_001864,7,reverse,sample,end_idx|end,1345,1376,20260318_125543_923694,20260318_125544_992742,1345,1377,20260318_125543_923694,20260318_125545_016678,0,1,0,23.936,32,33,32,是,否,是,是,是,是,1345,0,1376,0,1345,0,1377,0,20260318_125543_923694,20260318_125544_992742,20260318_125543_923694,20260318_125545_016678,,,,,,,,,,,,,两套边界都准确对应有效相机时间戳；现有clip缓存匹配动作标注边界，因此不是时间戳损坏，而是两份标注选择了不同边界,第一版以动作标注边界生成action/background标签；保留本行差异，人工确认后再决定是否改用segmentation边界,待用户确认,D:\Junxi_data\stage_2_data_for_annotation\Dataset_thermal_crimper_stage_2_raw\kinect\M\run_7\run_7_annotations.csv,8,D:\Junxi_data\stage_2_data_for_annotation\Dataset_thermal_crimper_stage_2_raw\kinect\M\run_7\run_7_segmentation_annotation.csv,14,D:\Junxi_data\stage_2_data_for_annotation\Dataset_thermal_crimper_stage_2_raw\kinect\M\run_7\001484412812\20260318_125454_timestamp.csv,1346,1377,1346,1378,D:\Junxi_data\Objective3_thermal_crimp\codex_and_files\manifest_graph_enrichment_2026-07-15\3_camera_mindrove_manifest_with_graph_nodes.jsonl,1864,2026-08-07,边界帧索引按1开始计数；时间戳CSV第1行为表头，因此时间戳文件行号=帧索引+1
